Status,Rewrite_in_context,Original,Rewrite,Chris: info correct?,Chris: info correct comment
un,"Peritonitis [HEAD] Diagnosis [SEP] A diagnosis of peritonitis is based primarily on the clinical manifestations described above. Rigidity (involuntary contraction of the abdominal muscles) is the most specific exam finding for diagnosing peritonitis. If focal peritonitis is detected, further work-up should be done. If diffuse peritonitis is detected, then urgent surgical consultation should be obtained, and may warrant surgery without further investigations. Leukocytosis, hypokalemia, hypernatremia, and acidosis may be present, but they are not specific findings. Abdominal X-rays may reveal dilated, edematous intestines, although such X-rays are mainly useful to look for pneumoperitoneum, an indicator of gastrointestinal perforation. The role of whole - abdomen ultrasound examination is under study and is likely to expand in the future . Computed tomography (CT or CAT scanning) may be useful in differentiating causes of abdominal pain. If reasonable doubt still persists, an exploratory peritoneal lavage or laparoscopy may be performed. In people with ascites, a diagnosis of peritonitis is made via paracentesis (abdominal tap): More than 250 polymorphonuclear cells per μL is considered diagnostic. In addition, Gram stain is almost always negative, whereas culture of the peritoneal fluid can determine the microorganism responsible and determine their sensitivity to antimicrobial agents.",The role of whole-abdomen ultrasound examination is under study and is likely to expand in the future.,The role of whole-abdomen ultrasound examination is under study and is likely to expand in the future.,,
imp,"This Life (1996 TV series) [HEAD] Characters ; Main Cast [SEP] 10 years later, Egg is a successful author and he and Milly have reconciled and have a young son called Oscar. Milly and Egg again are close to separation, but a series of events make them realise they deeply care for each other and they remain together. Jamilla Nassim was born in Barnet to an Indian emigrant family and, whilst studying for a law degree, met Egg and they began a relationship. Milly is, at the beginning of the series, a solicitor who has just completed her final training and is a junior partner at Moore Spencer Wright. Milly is hardworking and, despite her relative youth and ethnic background, is keen to secure the best outcomes for her clients. When Egg quits the firm midway through the first series, Milly finds it hard to deal with his apathetic attitude and harbours romantic thoughts towards her boss Michael O’Donnell. At the climax of the first series, Egg and Milly visit a therapist and initially resolve their differences. In the first episode of the second series, Milly meets a new trainee at her firm, Rachel. Initially put out that she wasn’t informed the firm was getting a trainee, Milly and Rachel form an uneasy working relationship, although Milly finds Rachel’s extremely positive demeanour irritating and is jealous of the relationship she has with her boss. After a brief romantic encounter at the end of the first series, Milly embarks on a full-blown affair with O’Donnell in the latter half of the second series, but the relationship ends when she discovers he has lied about separating from his wife. Throughout the second series, the underlying tensions between Milly and Rachel increase- after Warren leaves early in the second series, Rachel wants to move into the shared house that Milly and the others live in which Milly is deeply opposed to. After Miles marries Francesca, Rachel enquires again about the possibility of moving into the shared house, at which point Milly reveals her complete antipathy towards Rachel. Rachel gains revenge by telling Egg about the affair between Milly and O’Donnell, at which point Milly marches across the dancefloor and punches Rachel in the face. 10 years later, Milly and Egg are married with a young son called Oscar. Milly is resentful at having given up a promising career in Law to raise Oscar, whilst Egg has become a successful writer. Although initially planning to separate from Egg, she later reverses her decision and they remain together at the close of the series. Anna Forbes was born in Glasgow. It is revealed in the first episode that her childhood was difficult, with an alcoholic mother who neglected her frequently. Despite her difficult upbringing , Anna is a tenacious , charismatic and talented barrister , albeit one who frequently takes risks on behalf of her clients . In the first series, Anna interviews for a position at chambers but is unsuccessful. Nonetheless, chambers clerk Jo suggests that she ‘squat’ and undertake supplementary work and unwanted cases in order to earn an income. Anna moves into the shared house and is reunited with her former boyfriend Miles whom she dated at university. The on/off relationship between Miles and Anna is one of the main storylines that runs throughout the entire series. Anna and Miles initially reunite as friends, although Anna is uncomfortable early in the first series when Miles is dating drug addict and thief Delilah and helps to sabotage the relationship. Near the end of the first series, Anna sleeps with Egg’s father Jerry although at a house party to celebrate his book being accepted by a publisher, she hides from him and ends up sleeping with Miles. At the beginning of the second series, Anna sees Miles talking to another woman at a bar and, misunderstanding the situation, thinks he is cheating on her and promptly dumps him.","Despite her difficult upbringing, Anna is a tenacious, charismatic and talented barrister, albeit one who frequently takes risks on behalf of her clients.","Despite her difficult upbringing, Anna is a tenacious, charismatic and talented barrister, albeit one who frequently takes risks on behalf of her clients.",,
done,"Yia Yia Mary's [HEAD] Description [SEP] Yia Yia Mary's was owned by Pappas Restaurants and served Greek cuisine at restaurants in Uptown Houston and William P. Hobby Airport. The Uptown restaurant's interior had a ""soaring wood-beamed ceiling and stately stone walls"", according to the Houston Press, and featured a wood-burning grill and ""omnipresent"" televisions. The Houston Chronicle described the interior decor as ""wildly eclectic"" and ""full of bright signs and dramatic architecture"", with a high vaulted ceiling, large wooden beams, and ""impressive drop lights scattered throughout"". There were two stone fireplaces, both of which had large mounted swordfish above mantles, as well as a mural of Greek settings and a ""luxuriously appointed"" bar. The wall opposite the kitchen and counter with five mounted televisions displayed Greek food signs. Guests placed orders at the counter during lunch and had orders taken by waiting staff during evening hours. Staff wore jeans and blue or black T-shirts with the restaurant's logo, as of 2004. Patrons At Yia Yia Mary ' s restaurant in Uptown Houston , patrons ate at wooden tables covered with blue checkered tablecloths and set with bottles of Apella wine available for purchase . The restaurant played Greek music in the background. Houstonia described the interior as ""cavernous"" and said Yia Yia Mary's was ""the area's only Greek fish specialist"". The airport restaurant was located near Gate 1. The menu at the Uptown restaurant included seafood such as branzino, calamari, lobster, and shrimp, as well as gyros served with French fries, lamb, moussaka, pastitsio, saganaki, souvlaki (beef, chicken, or lamb), and spanakopita. Gyros had rotisserie-cooked beef and lamb in pita with onions, tomatoes, and tzatziki. The lobster oregano was served with Greek salad and herb rice or lemon-buttered roasted potatoes. The meze (appetizer) menu had baked feta, dolmades, fried calamari, Greek meatballs, and lamb chops steeped in garlic and oregano, and roasted eggplant dip. The appetizer sampler had pita, olives, and five dips, including eggplant with garlic and olive oil, hummus, one made with red peppers and feta, skordalia, and caviar-flavored taramasalata. The ""Yia Yia sampler"" had feta in olive oil and was served with dolmades, pita, spanakopita, and tiropita. Side salads had iceberg lettuce, tomatoes, feta, and pickled peppers. Happy hour was available all day on Wednesdays, as of 2017. The airport restaurant had gluten-free and vegetable-based options, as well as a falafel platter.",Patrons ate at wooden tables covered with blue checkered tablecloths and set with bottles of Apella wine available for purchase.,"At Yia Yia Mary's restaurant in Uptown Houston, patrons ate at wooden tables covered with blue checkered tablecloths and set with bottles of Apella wine available for purchase.",y,
done,"Synchronised (horse) [HEAD] Racing career ; 2010–2012: Senior chasing [SEP] Synchronised won only once from five races in the 2010/2011 season, but that win was his most important so far. After starting the season with two runs over hurdles, he again showed his aptitude for extreme stamina tests as he carried 160 pounds to victory over three miles, five and a half furlongs in the Welsh National in January. McCoy sent him into the lead three fences from the finish and he stayed on strongly to win by two and three quarter lengths. He once again bypassed the Cheltenham Festival, but his attempt to win a second Midlands National ended in failure as he finished third to Minella Four Star under top weight of 166 pounds. On his final start of the season he made no show before being pulled up in the Irish Grand National. He ended the season with an official rating of 155, twenty-seven pounds behind the champion Long Run. The 2011/2012 season began with two more hurdle races before Synchronised was moved up to Grade I class for the first time in the Lexus Chase at Leopardstown Racecourse in December. The gelding established himself as a top-class steeplechaser by taking the lead at the last fence and pulling clear in the closing stages to beat Rubi Light in ""impressive style"" by eight and a half lengths at level weights. The race also showed that Synchronised did not need slow, heavy ground to show his best form. McCoy praised his horse's performance but was not over-enthusiastic about his prospects against the best steeplechasers saying ""I don't think Kauto Star and Long Run will be too worried"". The betting for the 2012 Cheltenham Gold Cup was dominated by the former winners Long Run and Kauto Star, but Synchronised was also quietly fancied and started the 8/1 joint-third favourite with Weird Al in a field of fourteen runners. His Synchronised ' s task in the 2012 Cheltenham Gold Cup was made easier when Kauto Star injured himself and was pulled up at the tenth fence . Synchronised was still only sixth as the field approached the straight, but his stamina proved decisive as he stayed on strongly to dispute the lead at the last fence before pulling away to win by two and a quarter lengths from the 50/1 outsider The Giant Bolster. The win gave a first Gold Cup to J. P. McManus as an owner and was the first for O'Neill as a trainer. After the race the winner's connections were reported to be considering a run in the Grand National, in which Synchronised would carry top weight.",His task was made easier when Kauto Star injured himself and was pulled up at the tenth fence.,Synchronised's task in the 2012 Cheltenham Gold Cup was made easier when Kauto Star injured himself and was pulled up at the tenth fence.,y,
done,"Haigh, Greater Manchester [HEAD] Landmarks [SEP] Haigh Windmill, the only remaining windmill in Greater Manchester, was built in 1845 and supplied well water to John Sumner & Company's Haigh Brewery which, until the 1950s, was situated behind the Balcarres Arms public house. The disused windmill Haigh Windmill in Greater Manchester was restored in 2011 in a £60 , 000 scheme made possible by Heritage Lottery Funding . The damaged brickwork was repaired and a broken and missing sail replaced.","The disused windmill was restored in 2011 in a £60,000 scheme made possible by Heritage Lottery Funding.","The disused Haigh Windmill in Greater Manchester was restored in 2011 in a £60,000 scheme made possible by Heritage Lottery Funding.",y,
imp,"DC: The New Frontier [HEAD] Plot [SEP] In the first hours of armistice immediately following the Korean War, fighter pilots Hal Jordan and Kyle ""Ace"" Morgan are shot down by Korean planes. Ace saves Jordan, who lands in North Korean territory, where he is saved by reporters Lois Lane and Jimmy Olsen, but not before Jordan is forced to kill a North Korean soldier who is apparently unaware that the conflict is over. Jordan, who has a strict moral and ethical opposition to murder, chastises himself for not remembering the Korean words that would have potentially saved the man's life. Meanwhile, in the early years of the Vietnam War, Superman meets with Wonder Woman, who has just rescued a village of women kept in slavery by the Viet Cong. Superman criticises Wonder Woman for allowing the women to slaughter their captors, thereby defying international law, and threatens to report her for her actions. Angered, Wonder Woman shows him the door. In 1955, the last surviving member of a Martian race, J'onn J'onzz, arrives on Earth in Gotham City in response to an astronomer's signal. The shock of J'onzz's arrival causes the astronomer to suffer a fatal heart attack, but not before warning J'onzz of humanity's capacity for violence and distrust. Taking note, J'onzz – capable of shape-shifting – assumes the astronomer's identity and later creates the identity of GCPD Detective John Jones, based on what he has learned of human nature through television. He declares that he wishes to be one of the ""good guys"". In 1956, police scientist Barry Allen is struck by lightning, giving him superhuman speed. In 1957, J'onzz (now using his John Jones persona) intercepts a struggle between Batman and a group of cultists who worship something referred to by their leader as ""the Centre"", as they attempt to sacrifice the son of a wealthy Gotham magnate. J'onzz is briefly incapacitated by his crippling fear of fire, but Batman is able to save the child, brutally assaulting the cult leader. The leader chuckles to himself that they will all be judged. Ted ""Wildcat"" Grant fights Cassius Clay in the World Heavyweight Championship in Las Vegas, attended by Jordan, Ace, Bruce Wayne, Selina Kyle, Oliver Queen, Lane, Flagg, Carol Ferris, Iris West and several former JSA members. Clay initially staggers Grant, who is saved from a knockout only by the bell, but Grant is eventually able to win the match and is declared Heavyweight Champion of the World. The celebration of Grant's victory is short-lived, however, as Captain Cold arrives to rob the casino where the party is being held. Iris, who is calling Barry Allen at the moment of the attack, is injured. Allen, as The Flash, runs from Central City to Vegas, disarming Captain Cold's cold-fusion devices and incapacitating him with his own weapon. Jordan and Morgan drive to a nearby military base, where Ace shows Jordan a plane he is going to fly from Vegas to New York as part of a new television program. He tells Jordan about a job interview that he has arranged for him with Carol Ferris and her father , the owner of a large aircraft company who flew with Jordan ' s father during World War II , before leaving for New York . Jordan accepts the position offered by Carol, and the two begin a relationship.","He tells Jordan about a job interview that he has arranged for him with Carol Ferris and her father, the owner of a large aircraft company who flew with Jordan's father during World War II, before leaving for New York.","He tells Jordan about a job interview that he has arranged for him with Carol Ferris and her father, the owner of a large aircraft company who flew with Jordan's father during World War II, before leaving for New York.",,
done,"Colin McAdam (footballer) [HEAD] Personal life and death [SEP] Colin McAdam ' s younger brother Tom McAdam was also a footballer . A defender, he played for Rangers' biggest rivals Celtic at the same time Colin was at Rangers, and they played against each other in Old Firm matches eight times. They both started at Dumbarton and played there alongside each other, and both later signed for Motherwell but at different times. McAdam died on 1 August 2013, aged 61.",McAdam's younger brother Tom was also a footballer.,Colin McAdam's younger brother Tom McAdam was also a footballer.,t,
imp,"The Hunchback of Notre Dame (musical) [HEAD] Plot [SEP] Esmeralda returns to Notre Dame, asking Quasimodo to hide the injured Phoebus. She gives Quasimodo a woven band and leaves. Inspired by the story of Saint Aphrodisius and encouraged by the saints, Quasimodo deciphers the woven band as a map and resolves to help her (""Flight into Egypt""). Frollo returns to Notre Dame, asking Quasimodo where Esmeralda is; Quasimodo responds that he doesn't know. Frollo appears to accept this, before a guard informs Frollo that they know where Esmeralda is. Frollo tells Quasimodo that they will now be successful in capturing Esmeralda and leaves (""Esmeralda (Reprise)""). Using the map, Quasimodo and Phoebus go to warn the gypsies (""Rest and Recreation (Reprise)""). Initially, the gypsies attempt to kill the two, but they are saved by Esmeralda. (""Court of Miracles""). The two tell the gypsies Frollo will attack at dawn. The gypsies prepare to leave; Phoebus asks Esmeralda to go with her, the two expressing their love for each other as Quasimodo looks on, heartbroken (""Heaven's Light (Reprise)/In a Place of Miracles""). Frollo suddenly enters, having followed Quasimodo, and arrests all present—only Clopin manages to escape. Frollo has the guards lock Quasimodo in the bell tower. Frollo visits Esmeralda, telling her that he can save her if she accepts being with him. When Esmeralda refuses, he threatens Phoebus' life and attempts to rape her (""Sanctuary (Reprise)""). He halts when Esmeralda cries out in protest, allowing her to have a final conversation with Phoebus. Phoebus pleads for her to accept Frollo's offer to save herself, which Esmeralda refuses to do. They yearn together for a better future (""Someday""). Meanwhile, in the bell tower, the statues encourage Quasimodo to free himself and save Esmeralda; Quasimodo angrily denounces them, declaring that he will remain stoic until he dies (""Made of Stone""). At dawn, Esmeralda is tied to a pyre outside Notre Dame. Frollo sentences her to death, offering her one last chance to save herself, which she angrily rejects. He orders her pyre to be lit. Quasimodo swings down on a rope from the bell tower and takes Esmeralda back to Notre Dame, invoking Notre Dame's status as a sanctuary in an appeal for protection. Frollo orders the Cathedral Guard to retake the church by force. Clopin frees Phoebus, after which the two rally the people of Paris to fight against the guards. However, the guards still manage to break in. Quasimodo dumps the molten lead used for fixing the bells onto the guards to stop them. Esmeralda thanks Quasimodo for being a good friend before dying from smoke inhalation. Frollo enters and asks Quasimodo if she is dead, which he broken-heartedly confirms. Relieved, Frollo tells Quasimodo that they are finally free of her poison. Quasimodo angrily throws Frollo off the tower of Notre Dame to his death. Devastated , Quasimodo realizes that everyone he has ever loved is now dead . Phoebus arrives, finding out about Esmeralda's death. Phoebus tries to carry her body away but is unable to due to his injuries. Quasimodo then carries Esmeralda away.","Devastated, Quasimodo realizes that everyone he has ever loved is now dead.","Devastated, Quasimodo realizes that everyone he has ever loved is now dead.",,
done,"Katie Cole [HEAD] Musical career [SEP] Katie Cole ' s career began in Australia , where she wrote songs for Gloria Gaynor and other dance artists , toured , and released her debut EP . After publishing an autobiography on her website, which included a list of producers and songwriters she would most like to work with, she was contacted by Howard Willing. Following several trips to the United States to work on music projects, Cole decided to relocate to Los Angeles, where she currently resides. She also travels to Nashville frequently. In 2009, Cole provided backing vocals on ""I'll Be Home for Christmas"", performed by Dean Martin featuring Scarlett Johansson on his album My Kind of Christmas. Her vocals also appear on Glen Campbell's albums Ghost on the Canvas (2011) and See You There (2013), and in music by Cheap Trick and New Church of Ease. In 2010–2011, Cole released Lost Inside a Moment, an EP produced by Willing. Two singles from the recording, ""Lost Inside a Moment"" and ""Sunrise"", were playlisted by the United Kingdom's BBC Radio 2 in June and August–September 2011, respectively. A third song was also broadcast. In 2011, her single ""Gravity"" was used in an advertising campaign by Movado in the United States. The company also sponsored a profile of Cole for publication in The New York Times. In 2011, Cole released a five-track album called Melodiem via Bandcamp. In March 2014, she released her first full-length album, Lay It All Down, featuring Kris Kristofferson (""Penelope"") and the single ""I Can't Wait"". The album has been called a ""collection of Americana, pop and Folk-infused tracks"". Cole has performed in London (September 2011) and throughout the United States, and appears regularly at Los Angeles venues. In Phoenix, she performed by Toby Keith's bar for whooznxt.com. She has shared the stage with Jackson Browne, Glen Campbell, Anna Nalick and Sam & Ruby. Cole has been sponsored by Cole Clark Guitars, Movado and Sennheiser. She enjoys interacting with her fans via social media. She opened for and temporally filled in as a bass player for American alternative rock band The Smashing Pumpkins on their eight-date acoustic ""In Plainsong"" tour in June 2015 and has also appeared on bass on the 2016 tour of the same name. That same month, she opened for America at the 2nd Annual Benefit for New Horizons. In 2018 she released Things That Break pt1, a five track E.P. with a distinct Americana sound to it her most personal record to date, in the same year, Katie again toured with The Smashing Pumpkins on The Shiny and oh so Bright Tour This time on keyboards, guitar and providing backing vocals and will reprise this role for The Pumpkins during late May, June and July on their European tour.","Cole's career began in Australia, where she wrote songs for Gloria Gaynor and other dance artists, toured, and released her debut EP.","Katie Cole's career began in Australia, where she wrote songs for Gloria Gaynor and other dance artists, toured, and released her debut EP.",t,"katie' appears later in the pargraph, but very borderline as not guaranteed to coincide with 'she'"
done,"Sonthi Boonyaratglin [HEAD] Southern Thailand insurgency [SEP] After being appointed Army Commander in 2005, Sonthi expressed confidence that he could resolve the insurgency. He claimed that he would take a ""new and effective"" approach to a crisis and that ""The army is informed [of who the insurgents are] and will carry out their duties."" Sonthi was granted an extraordinary increase in executive powers to combat unrest in the far South. However, up to 19 September 2006, the Army admitted that they had no idea who the insurgents were. The drastic escalation of the insurgency during his leadership of the Army led to much public criticism of Army efforts. While assigned to the South, Sonthi suggested that former communist insurgents might be playing a role in the unrest. Leaders of the southern provinces displayed skepticism over his suggestion and investigations did not reveal any communist link. Sonthi was also blamed for failing to rescue two teachers who had been kidnapped and severely beaten by a mob in May 2006. One of them, 24-year-old Juling Pangamoon from Chiang Rai, was long in a coma and attracted fame for the attention paid to her by the royal family of Thailand, finally dying from her brutal beating in January 2009. In August 2006, after 22 commercial banks were simultaneously bombed in Yala province, Sonthi announced that he would break with government policy and negotiate with the leaders of the insurgency. However, he noted that ""We still don't know who is the real head of the militants we are fighting with."" In a press conference the next day , he Sonthi Boonyaratglin attacked the government for criticizing him for trying to negotiate with the anonymous insurgents , and demanded that the government "" Free the military and let it do the job . "" Afterwards, insurgents bombed 6 department stores in Hat Yai city, which up until then had been free of insurgent activities. As always, the identity of the insurgents was not revealed. On 8 September, Deputy Prime Minister Chitchai Wannasathit promised to give Sonthi increased powers to better deal with the insurgency. However, by 19 September 2006, the Army admitted that it still was unsure whom to negotiate with. Three days later, Sonthi led a coup against the government of Prime Minister Thaksin Shinawatra. Sonthi's former superiors, Deputy Prime Minister for national security Chitchai Wannasathit and Defense Minister Thammarak Isarangkura na Ayudhaya were immediately arrested. Despite escalating violence, in May 2007 Sonthi started withdrawing troops from the South, replacing them with territorial defence volunteers. He did not say why the regular army was to be reduced in the South.","In a press conference the next day, he attacked the government for criticizing him for trying to negotiate with the anonymous insurgents, and demanded that the government ""Free the military and let it do the job.""","In a press conference the next day, Sonthi Boonyaratglin attacked the government for criticizing him for trying to negotiate with the anonymous insurgents, and demanded that the government ""Free the military and let it do the job.""",t,
un,"African teak [HEAD] Gallery [SEP] View of a trunk of African teak , Milicia excelsa ( Chlorophora excelsa ) in Lawachara National Park , Bangladesh . 2016 . ","View of a trunk of African teak, Milicia excelsa (Chlorophora excelsa) in Lawachara National Park, Bangladesh. 2016.","View of a trunk of African teak, Milicia excelsa (Chlorophora excelsa) in Lawachara National Park, Bangladesh. 2016.",,
un,"Golczowice, Prudnik County [HEAD] [SEP] Golczowice [ ɡɔlt͡ʂɔˈvit͡sɛ ] , German Golschowitz is a village in the administrative district of Gmina Głogówek ( Gemeinde Oberglogau ) , within Prudnik County , Opole Voivodeship , in south - western Poland , close to the Czech border . It lies approximately 8 kilometres (5 mi) north-west of Głogówek (Oberglogau), 18 km (11 mi) north-east of Prudnik, and 32 km (20 mi) south of the regional capital Opole. Before 1945 the area was part of Germany (see Territorial changes of Poland after World War II). Since 2009 the village, like much of the surrounding area, has been officially bilingual in German and Polish.","Golczowice [ɡɔlt͡ʂɔˈvit͡sɛ], German Golschowitz is a village in the administrative district of Gmina Głogówek (Gemeinde Oberglogau), within Prudnik County, Opole Voivodeship, in south-western Poland, close to the Czech border.","Golczowice [ɡɔlt͡ʂɔˈvit͡sɛ], German Golschowitz is a village in the administrative district of Gmina Głogówek (Gemeinde Oberglogau), within Prudnik County, Opole Voivodeship, in south-western Poland, close to the Czech border.",,
un,"Australian Construction Contracts [HEAD] Forms of Contract ; Australian Standard General Conditions of Contract AS4000 [SEP] This document updates AS2124-1992 to cater for changes in construction practice and law and the AS4000 series of documents are probably the most widely used in major works. Variations are valued by the superintendent using rates or prices in the contract . Where the bill of quantities or schedule of rates is not a contract document the rates shall still apply. No percentage is added to or deducted from the rates, but variations of omission include profit but not overheads. As overheads are not defined in the conditions it is common to accept the preliminaries on the overheads. A percentage nominated in the Annexure is applied to the amount actually paid for each provisional sum and can therefore result in an increase or decrease in the contract sum depending on whether the actual amount was more or less than the provisional allowance. The rate of interest is stated in the Annexure. Reimbursement applies to compensable causes which are stated and can be expanded by completing the appropriate item in the Appendix.",Variations are valued by the superintendent using rates or prices in the contract.,Variations are valued by the superintendent using rates or prices in the contract.,,
imp,"List of Torchwood characters [HEAD] Supporting characters introduced by series ; Series two (2008) ; Adam Smith [SEP] ""Adam Smith"", an alien who feeds and survives off memories, appears in ""Adam"", played by Bryan Dick. Previously trapped in an extradimensional Void, Adam is drawn to the Torchwood team due to their unique memories and escapes the Void through the Rift. In less than 48 hours he is able to plant false memories in the team, posing as a member of Torchwood. It is this belief in him that allows him to survive. Accompanying the survival instinct, Adam shows a tendency to use his powers recreationally and maliciously. He provides a drastic role-reversal for both Toshiko, now a promiscuous extrovert who shares a passionate relationship with Adam, and Owen, now a shy geek with unrequited feelings for Toshiko. Adam also provides Jack with a resurgence of the repressed memories of the last pleasant memories of his family before his father ' s death and his brother ' s disappearance . As a side-effect of such new memory creation, other memories must be forced from the mind, leading Gwen to totally forget Rhys. When Ianto looks over his diary and discovers no reference to Adam, Adam attempts to escape by torturing Ianto with false memories of being a serial killer, only for Jack to see through the lie thanks to his knowledge of Ianto's personality. Although Adam tries to threaten Jack by altering his few happy memories of his childhood, Jack nevertheless deals with Adam's existence by giving everyone in the team 48-hour amnesia pills. Forgetting Adam causes his death and leaves the team puzzling the loss of the last 48 hours.",Adam also provides Jack with a resurgence of the repressed memories of the last pleasant memories of his family before his father's death and his brother's disappearance.,Adam also provides Jack with a resurgence of the repressed memories of the last pleasant memories of his family before his father's death and his brother's disappearance.,,
un,"Valuas (folklore) [HEAD] Castle [SEP] According to Lambert Keuller , a local historician , Valuas founded a castle in 96 A . D . , which he called Vrijburg . The castle were to be built at the present square called ‘’Oude Markt’’, on the southeast corner. This area also would have been the main location of the settlement in that time. Later, in the early middle ages, the castle disappeared. Although the exact moment of disappearance has not been noted, Keuller means that this happened in the 9th century, when the Vikings raided the northwest of Europe.","According to Lambert Keuller, a local historician, Valuas founded a castle in 96 A.D., which he called Vrijburg.","According to Lambert Keuller, a local historician, Valuas founded a castle in 96 A.D., which he called Vrijburg.",,
done,"Paris Geller [HEAD] [SEP] Paris Eustace Geller is a fictional character on the television series Gilmore Girls and its spin-off A Year in the Life, played by Liza Weil. Paris is introduced as an ambitious high-school student from a wealthy family, who was raised almost entirely by her nanny. She has an extreme form of a Type A personality, driven to succeed and going to any extreme to get what she wants, whether it be a high grade or a life goal, and is very disappointed with herself and others if she does not achieve. This is in stark contrast to her friend Rory Gilmore, who is much more relaxed and casual about most matters, and the only person close to Paris who can consistently pacify her. Paris's style of speaking is usually brash and matter-of-fact, and it is very rare that she lapses away from her usual tone. Paris was conceived as a short-term character who would serve as Rory's foil and arch-nemesis in high school. However , the The role of Paris Eustace Geller was gradually developed by Gilmore Girls series creator Amy Sherman - Palladino and her husband / writing partner Dan , and Paris would remain for the entirety of the series while growing closer to Rory . Weil's performance won critical acclaim, with Paris becoming one of the show's most popular and topical characters.","However, the role was gradually developed by series creator Amy Sherman-Palladino and her husband/writing partner Dan, and Paris would remain for the entirety of the series while growing closer to Rory.","The role of Paris Eustace Geller was gradually developed by Gilmore Girls series creator Amy Sherman-Palladino and her husband/writing partner Dan, and Paris would remain for the entirety of the series while growing closer to Rory.",y,
done,"Georges Eekhoud [HEAD] Early life and works [SEP] Eekhoud was born in Antwerp. A member of a fairly well-off family, he lost his parents as a young boy. When he came into his own he started working for a journal. First as a corrector, later he contributed a serial. In 1877, the generosity of his grandmother permitted young Eekhoud to publish his first two books, Myrtes et Cyprès and Zigzags poétiques, both volumes of poetry. In the beginning of the 1880s Eekhoud took part in several of the modern French-Belgian artist movements, like Les XX (The Twenty) and La Jeune Belgique (Young Belgium). Kees Doorik, his first novel was published in 1883, about the wild life of a tough young farmhand who committed a murder. The renowned free-thinking publisher Henri Kistemaeckers brought out a second edition three years later. Eekhoud received some guarded praise by famous authors like Edmond de Goncourt and Joris-Karl Huysmans who both sent Eekhoud a personal letter. For his second prose book, Kermesses (Fairs, 1884), not only Goncourt and Huysmans praised him, but also Émile Zola, about whom Eekhoud had written an essay in 1879. In 1886 his novel Les milices de Saint-François (The Soldiers of Saint Francis Xavier) was published. By now Eekhoud's established subject was the rural Campine, a poor farmers' district east of Antwerp. He Georges Eekhoud had a distinct style permeated with enthusiasm for the roguish young farm labourers and their rough - and - tumble lives . His most famous novel, La nouvelle Carthage (The New Carthage) was published in its definitive form in 1893, and many times reprinted. It has also been translated in English, German, Dutch, Russian, Romanian and Czech. The rustic Campine was in this book replaced with the brutal life of love and death in the Antwerp dockland metropolis and its dirty industry.",He had a distinct style permeated with enthusiasm for the roguish young farm labourers and their rough-and-tumble lives.,Georges Eekhoud had a distinct style permeated with enthusiasm for the roguish young farm labourers and their rough-and-tumble lives.,t,
un,Pseudostegania lijiangensis [HEAD] [SEP] Pseudostegania lijiangensis is a moth in the family Geometridae . It is found in China ( Yunnan ) . ,Pseudostegania lijiangensis is a moth in the family Geometridae. It is found in China (Yunnan).,Pseudostegania lijiangensis is a moth in the family Geometridae. It is found in China (Yunnan).,,
imp,"PSMA7 [HEAD] Mechanism [SEP] Crystal structures of isolated 20S proteasome complex demonstrate that the two rings of beta subunits form a proteolytic chamber and maintain all their active sites of proteolysis within the chamber. Concomitantly , the rings of alpha subunits form the entrance for substrates entering the proteolytic chamber . In an inactivated 20S proteasome complex, the gate into the internal proteolytic chamber are guarded by the N-terminal tails of specific alpha-subunit. The proteolytic capacity of 20S core particle (CP) can be activated when CP associates with one or two regulatory particles (RP) on one or both side of alpha rings. These regulatory particles include 19S proteasome complexes, 11S proteasome complex, etc. Following the CP-RP association, the confirmation of certain alpha subunits will change and consequently cause the opening of substrate entrance gate. Besides RPs, the 20S proteasomes can also be effectively activated by other mild chemical treatments, such as exposure to low levels of sodium dodecylsulfate (SDS) or NP-14.","Concomitantly, the rings of alpha subunits form the entrance for substrates entering the proteolytic chamber.","Concomitantly, the rings of alpha subunits form the entrance for substrates entering the proteolytic chamber.",,
